timestamp_utc,event_type,model_name,model_format,vertex_count,file_size_bytes,interaction_type,input_to_camera_change_ms,viewport_width,viewport_height,user_agent
2026-03-22T07:46:10.559444+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,2.3,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:46:11.039535+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,0.3,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:46:11.754363+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,5.1,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:48:51.850197+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,69.6,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:48:52.902258+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,4.6,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:48:53.456808+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,9.8,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:48:54.127548+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,9.4,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:48:54.612482+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,5.2,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:48:54.627321+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,5,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:48:54.636870+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,5.1,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:48:54.652139+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,5,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:48:54.667847+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,5.2,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:48:54.713144+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,5,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:48:55.227675+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,244.8,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:48:56.061869+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,26.6,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:48:56.879301+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,1.5,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:48:57.438205+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,5.1,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:48:57.447111+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,5,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:48:57.462142+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,4.9,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:48:57.477199+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,5.2,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:48:57.533013+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,5.2,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:01.677192+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,29.7,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:02.534915+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,24.6,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:03.696705+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,39.5,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:04.907160+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,29.5,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:05.677012+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,9.6,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:06.486823+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,9.7,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:07.017060+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,9.4,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:07.673844+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,6.6,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:08.242586+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,6,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:08.832863+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,5.1,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:08.846932+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,5.1,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:08.861331+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,9.9,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:08.876760+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,10.2,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:08.911755+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,15,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:09.212198+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,6.5,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:09.737298+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,9.5,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:10.177503+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,5,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:10.227599+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,5.1,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:10.237291+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,5.1,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:10.251880+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,5.2,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:10.261415+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,5,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
